cdacordao,tipo,PC1,PC2,PC3,PC4,PC5,PC6
1861347,f(ementa),-0.150212,0.098905,-0.098928,-0.264668,-0.015143,0.086353
1861392,f(ementa),-0.215472,-0.047618,-0.052044,-0.134278,0.016189,0.186871
1861406,f(ementa),-0.223416,0.096186,-0.134622,-0.207831,0.030494,0.125507
1861475,f(ementa),-0.270608,0.158193,0.083601,0.020489,0.076853,0.259884
1861597,f(ementa),-0.233623,0.082937,-0.155296,-0.193749,0.001743,0.107325
1861651,f(ementa),-0.191584,0.054310,0.006347,-0.152065,0.050056,0.114339
1861673,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861690,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861698,f(ementa),-0.156830,0.034829,-0.011088,-0.160486,-0.036239,-0.005379
1861699,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861715,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861716,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861730,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861731,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861747,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861764,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861779,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1861780,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861786,f(ementa),-0.164281,-0.008281,-0.070460,-0.285905,-0.023436,0.196052
1861794,f(ementa),-0.235898,0.012632,0.085234,-0.134145,0.068216,0.112931
1861802,f(ementa),-0.142102,0.001702,-0.092982,-0.069968,0.020911,0.114210
1861819,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861820,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861842,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861851,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861856,f(ementa),-0.154406,-0.005548,0.046655,-0.218505,0.022932,0.134592
1861861,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861862,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861873,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861887,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861888,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861910,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861928,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861929,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861948,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861949,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861955,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1861956,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1860285,f(ementa),-0.195871,0.099918,0.068222,-0.133825,0.035668,0.176650
1860332,f(ementa),-0.249490,0.189863,0.159003,0.047147,-0.002409,0.146298
1859274,f(ementa),-0.204373,0.000699,-0.112972,-0.204163,0.008968,0.149592
1859287,f(ementa),-0.177826,-0.009760,-0.050644,-0.195731,0.049954,0.119982
1859290,f(ementa),-0.217643,0.023560,-0.102454,-0.149933,0.000462,0.050982
1859291,f(ementa),-0.171822,-0.008861,-0.106410,-0.176829,0.034289,0.221844
1859294,f(ementa),-0.102720,0.037461,0.085740,-0.091198,0.112500,0.013154
1859300,f(ementa),-0.068730,-0.083256,-0.042311,-0.213901,-0.030480,0.051597
1859305,f(ementa),-0.270788,0.217043,0.129436,0.025264,0.057662,0.223438
1859307,f(ementa),-0.157756,0.010900,-0.082034,-0.192616,-0.033828,0.056910
1859322,f(ementa),-0.235002,0.215402,0.037271,-0.060320,0.071426,0.177598
1859326,f(ementa),-0.134314,0.003493,-0.164013,-0.166457,0.041909,0.043868
1859342,f(ementa),-0.248944,0.237685,0.156945,0.042846,0.099386,0.115173
1859373,f(ementa),-0.223011,0.093366,0.055369,-0.253314,0.027853,0.093745
1859382,f(ementa),-0.266416,0.041059,-0.073241,-0.129578,-0.006849,0.084873
1859404,f(ementa),-0.169980,0.051033,-0.047580,-0.099220,0.007072,0.055891
1859407,f(ementa),-0.154299,0.062156,0.035638,-0.075351,-0.022106,-0.085191
1859418,f(ementa),-0.179091,-0.011775,0.064687,-0.194256,-0.013834,0.087283
1859442,f(ementa),-0.147996,0.150112,0.158922,-0.050738,0.017101,0.097076
1859519,f(ementa),-0.193780,-0.012254,-0.114067,-0.242658,-0.015897,0.197274
1859636,f(ementa),-0.244691,0.265697,0.196689,0.161553,0.084146,0.186534
1858844,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1858335,f(ementa),-0.233724,0.232662,0.156672,0.034743,-0.070670,-0.021817
1858345,f(ementa),-0.239551,0.177960,0.091766,-0.019993,0.101752,0.129165
1858370,f(ementa),-0.285947,0.299335,0.219051,0.126823,0.017049,0.154185
1858389,f(ementa),-0.284912,0.240542,0.139546,0.047370,0.035518,0.244974
1858399,f(ementa),-0.202426,0.258072,0.244644,0.092555,0.098760,0.190978
1858586,f(ementa),-0.240278,0.256700,0.092513,0.049901,0.034784,0.215188
1857994,f(ementa),-0.022486,0.007430,-0.213598,-0.121976,-0.040030,0.038855
1858041,f(ementa),-0.199406,0.049358,-0.139851,-0.223287,0.015481,0.156603
1858046,f(ementa),-0.247120,0.132116,-0.050199,-0.173934,-0.029375,0.048673
1858111,f(ementa),-0.144599,0.171611,0.213341,0.036916,0.020435,0.116798
1858135,f(ementa),-0.160004,0.063129,0.003249,-0.288042,0.044298,0.068886
1858140,f(ementa),-0.057954,0.051876,-0.215766,-0.088581,0.038188,0.002162
1858174,f(ementa),-0.160815,0.044268,0.032466,-0.258224,-0.020915,0.006073
1858185,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1858191,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1858192,f(ementa),-0.019752,-0.263879,0.346773,-0.208961,0.001828,-0.227138
1858193,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1858197,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857073,f(ementa),-0.136290,0.060331,0.043607,-0.074602,-0.006779,0.080998
1857146,f(ementa),-0.036794,0.154271,0.297079,-0.050369,-0.009888,-0.069749
1857293,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857294,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857306,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857319,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857320,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857335,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857350,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857365,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857366,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857379,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857380,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857401,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
1857402,f(ementa),-0.062747,-0.302329,0.343155,-0.195231,0.006951,-0.193856
