cdacordao,tipo,x,y
1863507,f(descricao),35.027203,8.512008
1863507,f(mean HyDE),-5.913265,-5.212278
1863695,f(ementa),-6.773129,1.550098
1863695,f(descricao),29.816679,7.997620
1863695,f(mean HyDE),-4.352434,4.917740
1862908,f(ementa),-5.528699,0.263159
1862908,f(descricao),29.978100,7.182565
1862908,f(mean HyDE),-4.360255,3.880154
1862911,f(ementa),-23.169548,21.418570
1862911,f(descricao),28.242176,24.054577
1862911,f(mean HyDE),-15.801145,30.958410
1862932,f(ementa),-8.282884,9.761099
1862932,f(descricao),30.151789,9.445507
1862932,f(mean HyDE),-4.485312,4.235135
1862331,f(ementa),-10.524139,12.661925
1862331,f(descricao),29.932926,10.412705
1862331,f(mean HyDE),-5.605202,4.009546
1862374,f(ementa),-22.839174,24.532755
1862374,f(descricao),26.641434,25.375725
1862374,f(mean HyDE),-17.303389,33.744461
1862384,f(ementa),-15.458990,16.835173
1862384,f(descricao),23.671066,15.454468
1862384,f(mean HyDE),-8.409449,24.375486
1862433,f(ementa),-0.423176,-5.380614
1862433,f(descricao),27.902571,-4.247146
1862433,f(mean HyDE),-0.531275,-5.386333
1862464,f(ementa),-5.437962,-9.609005
1862464,f(descricao),29.459995,-7.349833
1862464,f(mean HyDE),-5.646239,-9.324624
1862629,f(ementa),-21.186474,11.711733
1862629,f(descricao),35.936722,6.140119
1862629,f(mean HyDE),-10.755289,8.001498
1862661,f(ementa),-25.958652,6.758244
1862661,f(descricao),25.457239,27.994961
1862661,f(mean HyDE),-17.961786,31.447508
1861253,f(ementa),-10.387524,11.112881
1861253,f(descricao),30.837311,13.095652
1861253,f(mean HyDE),-3.514049,7.125532
1861274,f(ementa),-5.864666,0.867666
1861274,f(descricao),29.222118,7.056164
1861274,f(mean HyDE),-4.972122,3.844751
1861347,f(ementa),-5.234109,-0.895171
1861347,f(descricao),29.920759,6.048977
1861347,f(mean HyDE),-4.875296,2.562424
1861392,f(ementa),-5.416337,-9.751679
1861392,f(descricao),29.546892,-7.298985
1861392,f(mean HyDE),-4.905724,-8.017669
1861406,f(ementa),-7.591248,-6.729290
1861406,f(descricao),21.469095,3.923523
1861406,f(mean HyDE),-7.554160,-6.712497
1861475,f(ementa),-9.955692,9.954012
1861475,f(descricao),31.090433,10.984017
1861475,f(mean HyDE),-8.928565,8.151571
1861597,f(ementa),-14.453526,-7.676292
1861597,f(descricao),22.833153,2.295997
1861597,f(mean HyDE),-14.029269,-7.454594
1861651,f(ementa),-9.753645,0.558705
1861651,f(descricao),26.758093,6.490499
1861651,f(mean HyDE),-9.815366,1.075265
1861673,f(ementa),-40.122715,-12.094014
